"column_name","data_type","is_nullable","column_default"
"id","integer","NO","nextval('stages_id_seq'::regclass)"
"name","character varying","NO",""
"order_no","smallint","NO","1"
"is_active","boolean","NO","true"
"order_index","integer","NO","0"
"created_at","timestamp with time zone","NO","now()"
"updated_at","timestamp with time zone","YES",""
