"table_name"
"academic_years"
"continuing_batch_items"
"continuing_batches"
"employees"
"exam_entries"
"exam_schedules"
"exam_timetable_entries"
"exam_timetables"
"fee_installments"
"fee_invoices"
"fee_payment_allocations"
"fee_payment_request_attachments"
"fee_payment_requests"
"fee_payments"
"fee_plan_installments"
"fee_plans"
"grades"
"guardians"
"modules"
"periods"
"permissions"
"role_permissions"
"roles"
"sections"
"stages"
"student_enrollments"
"student_guardians"
"student_year_results"
"students"
"subjects"
"teachers"
"timetable_entries"
"timetables"
"user_roles"
"users"
